Project,UnsupportedFeatures,LocalCompCheck,NoAvlResource,Result,PyVer,LatestRelease
bezier-2021.2.12,1,0,0,1,2.7,2021
biobb-common-3.7.0,0,0,1,1,3.7,2021
bitrot-1.0.0,1,0,0,1,2.7,2020
bitshares-0.7.0,0,0,1,1,2.7,2020
boto-patch-2.38.0,1,1,0,0-1,,2015
bounter-1.1.1,0,1,0,1,,2020
bumblebee-status-2.1.1,1,0,0,0,,
casbin-1.9.0,0,0,1,1,3.5,2022
cityscapesscripts-2.2.0,0,0,1,0,,
cloud_inquisitor-2.2.0,0,0,1,1,2.7,2018
cloudtracker-2.1.5,1,0,0,1,2.7,2020
conda-env-2.4.2,0,1,0,1,2.7,2015
dagster-0.13.0,1,0,0,1,2.7,2022
dagster-graphql-0.13.0,1,0,1,1,2.7,2022
dallinger-7.7.0,1,0,0,1,2.7,2022
datascience-0.17.0,0,1,1,1,2.7,2020
deeppavlov-0.17.0,1,0,1,1,3.5,2021
dffml-0.4.0,1,0,0,1,2.7,2022
dffrntlab-thumbor-7.2.1,0,0,1,0,,
dict-2020.12.3,0,0,1,0,,
djangoajax-3.2,0,0,1,1,2.7,2020
django-chamber-0.6.0,0,0,1,1,2.7,2022
django-chroniker-1.0.22,1,0,1,1,2.7,2020
djangocms-cascade-2.1.2,0,0,1,1,2.7,2022
django-compat-1.0.15,1,0,0,0,,
django-debug-toolbar-template-profiler-2.0.1,0,0,1,1,2.7,2021
django-embed-video-1.4.0,0,0,1,1,2.7,2022
django-entity-5.1.0,0,0,1,1,2.7,2021
django-facebook-6.0.3,1,0,0,0,,
django-feedreader-2.3.0,0,0,1,1,2.7,2021
django-fiber-1.9,0,0,1,1,3.5,2021
django-fluent-comments-3.0,0,0,1,1,2.7,2021
django-google-analytics-app-5.0.3,0,0,1,1,2.7,2022
django-googledrive-storage-1.5.2,0,0,1,1,2.7,2021
django-lockdown-4.0.0,0,0,1,1,2.7,2021
django-logentry-admin-1.1.0,0,0,1,1,2.7,2021
django-manager-utils-2.0.1,0,0,1,1,2.7,2021
django-measurement-3.2.3,0,0,1,1,2.7,2022
django-mobile-0.7.0,1,0,0,0,,
django-newsletter-0.9.1,0,0,1,1,2.7,2020
django-notifications-hq-1.6.0,0,0,1,1,2.7,2022
django-oscar-paypal-2.0.0,0,0,1,1,2.7,2020
django-pagseguro2-3.0.0,0,0,1,1,2.7,2020
django-prices-2.2.0,1,0,1,1,2.7,2020
django-query-builder-2.0.1,0,0,1,1,2.7,2022
djangosaml2-1.3.0,0,0,1,1,2.7,2021
django-select2-7.7.1,0,0,1,1,2.7,2022
django-statici18n-2.0.1,0,0,1,1,2.7,2021
django-stdimage-5.3.0,0,0,1,1,2.7,2021
django-watchman-1.2.0,0,0,1,1,2.7,2022
dj-places-5.0.0,0,0,1,1,3.5,2021
drf-haystack-1.8.9,0,0,1,1,2.7,2021
easyquotation-0.7.4,1,0,0,1,2.7,2022
eliot-tree-21.0.0,1,0,0,0,,
enable-5.2.0,0,0,1,1,3.6,2021
event-tracking-1.1.1,1,0,0,1,2.7,2022
fairseq-0.10.1,0,1,1,1,3.5,2021
fast-bert-1.9.5,0,0,1,1,2.7,2022
fcm-django-1.0.5,0,0,1,1,2.7,2022
fisher-0.1.9,1,0,0,1,310,2022
fitsne-1.2.1,1,0,0,1,2.7,2021
fklearn-1.22.0,0,0,1,1,2.7,2021
flask-pyoidc-3.8.0,0,0,1,1,2.7,2022
flopy-3.3.2,0,1,0,1,2.7,2021
foolbox-3.3.1,1,0,0,1,2.7,2022
ftw.simplelayout-2.8.0,0,0,1,0,,
futuquant-3.5.1,0,1,0,0,,
