Library,Version,PyVer,Direct/Indirect,Dependency,Root Cause,Resource,Stage,note
bcolz,1.2.1,3.9,Direct,,UnsupportedFeatures,gz,install,C
bottleneck,1.3.0,3.9,Indirect,numpy==1.16.0,UnsupportedFeatures,gz,install,C
cachier,1.5.0,2.7,Indirect,portalocak,NoAvlResource,whl,install,
chartify,3.0.3,3.5,Indirect,pyyaml>=5.3.1,NoAvlResource,whl,install,
chatterbot,1.1.0,3.9,Indirect,"spacy<2.2,>=2.1",UnsupportedFeatures,gz,install,C
cx-oracle,8.2.1,3.5,Direct,,LocalCompCheck,gz,install,
datasets,1.12.1,2.7,Indirect,multiprocess,LocalCompCheck,gz,install,
django-angular,2.3,2.7,Indirect,django>=2.1,NoAvlResource,gz,install,
goose-extractor,1.0.25,3.9,Indirect,beautifulsoup,UnsupportedFeatures,gz,install,SyntaxError
h5py,3.5.0,310,Indirect,numpy,UnsupportedFeatures,gz,install,C
kinto,14.4.1,2.7,Indirect,python-rapidjson,LocalCompCheck,gz,install,
neomodel,4.0.1,2.7,Direct,,UnsupportedFeatures,gz,install,SyntaxError
oauth2client,4.1.3,2.7,Indirect,rsa>=3.1.4【4.7.1】,LocalCompCheck,whl,install,
opbeat,3.6.1,310,Direct,,UnsupportedFeatures,gz,install,SyntaxError
responder,2.0.5,3.9,Indirect,httptools,UnsupportedFeatures,gz,install,C
salt,3003.3,2.7,Direct,,UnsupportedFeatures,gz,install,SyntaxError
sleekxmp,1.3.3,310,Direct,,UnsupportedFeatures,gz,install,ImportError
zipline,1.4.1,3.9,Indirect,"pandas<=0.22,>=0.18.1",UnsupportedFeatures,gz,install,C
pinax-webanalytics,5.0.0,2.7,Indirect,django>=2.2,NoAvlResource,whl,install,
pinax-notifications,6.0.0,2.7,Indirect,django>=2.2,NoAvlResource,whl,install,
pinax-eventlog,5.1.0,2.7,Indirect,django>=2.2,NoAvlResource,whl,install,
pinax-blog,8.0.1,2.7,Indirect,django>=2.2,NoAvlResource,whl,install,
pandas-mpmkp,1.0.9,3.9,Indirect,numpy==1.14.5,UnsupportedFeatures,gz,install,C
arviz,0.11.2,3.5,Indirect,xarray>=0.16.1,NoAvlResource,whl,install,
opencv-contrib-python,4.5.2.52,310,Indirect,numpy,UnsupportedFeatures,gz,install,C
umap-learn,0.5.0,3.5,Indirect,numba>=0.49,NoAvlResource,whl,install,
myqr,2.3.1,2.7,Indirect,imageio,LocalCompCheck,gz,install,
mxnet-cu75mkl,1.2.1.post1,3.9,Indirect,numpy,UnsupportedFeatures,whl,install,C
mmcv,1.3.0,2.7,Direct,,UnsupportedFeatures,gz,install,SyntaxError
mlxtend,0.19.0,2.7,Indirect,matplotlib>=3.0.0 (from mlxtend==0.19.0),NoAvlResource,whl,install,
maya,0.6.1,2.7,Indirect,regex_3,UnsupportedFeatures,whl,install,C
marisa-trie,0.7.5,310,Direct,,UnsupportedFeatures,gz,install,C
manimlib,0.2.0,2.7,Direct,,UnsupportedFeatures,gz,install,TypeError
luma.led_matrix,1.5.0,3.5,Indirect,luma.core,LocalCompCheck,whl,install,
litecli,1.6.0,3.5,Indirect,"prompt-toolkit<4.0.0,>=3.0.3 (from litecli==1.6.0)",NoAvlResource,whl,install,
superset,0.30.0,3.5,Direct,,LocalCompCheck,gz,install,
lesspass,10.2.0,2.7,Direct,,UnsupportedFeatures,gz,install,SyntaxError
twarc,2.8.0,3.5,Indirect,humanize>=3.9,NoAvlResource,whl,install,
sanic-cors,1.0.0,3.5,Indirect,"sanic-plugin-toolkit<2,>=1.0.0",NoAvlResource,whl,install,
keras-retinanet,1.0.0,2.7,Direct,,UnsupportedFeatures,gz,install,TypeError
invenio-files-rest,1.3.0,2.7,Indirect,"celery<5.3,>=5.1.0 (from invenio-celery>=1.2.3->invenio-files-rest==1.3.0)",NoAvlResource,whl,install,
invenio-accounts,1.4.2,2.7,Indirect,"celery<5.3,>=5.1.0 (from invenio-celery>=1.2.3->invenio-files-rest==1.3.1)",NoAvlResource,whl,install,
rise,5.7.1,2.7,Indirect,notebook>=6.0,NoAvlResource,whl,install,
indian-namematch,1.3.0,2.7,Indirect,regex_3,UnsupportedFeatures,gz,install,C
imgaug,0.4.0,2.7,Indirect,imageio,LocalCompCheck,whl,install,
pywb,2.6.0,2.7,Indirect,portalocker,LocalCompCheck,whl,install,
icontract,2.5.0,2.7,Direct,,UnsupportedFeatures,gz,install,TypeError
ibm-watson,5.3.0,2.7,Direct,,UnsupportedFeatures,gz,install,TypeError
hydra-core,1.1.1,2.7,Direct,,UnsupportedFeatures,gz,install,ImportError
rest-social-auth,6.0.1,2.7,Indirect,"django<4.0, >=2.2",NoAvlResource,whl,install,
